ISBN13,Title,Authors,Format,Number of Pages,Read Status,Date Read,Date Added,Year Published,Star Rating,Average Rating,Moods,Pace,Genre
9.78185E+12,The Whip Hand,Victor Canning,paperback,256,to-read,,2020-01-21 00:00:00,2011,0,3.49,,,
9.78053E+12,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,"adventurous, mysterious",fast,"Fantasy, Young Adult, Mystery, Romance, Science Fiction, Fiction"
9.78162E+12,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5,4.63,"dark, emotional, funny, tense",medium,"Fantasy, Romance, New Adult, Fae, Fiction"
9.78037E+12,"We Free the Stars (Sands of Arawiya, #2)",Hafsah Faizal,hardcover,592,to-read,,2019-12-19 00:00:00,2021,0,4.27,,,
9.78197E+12,"A Winter's Promise (The Mirror Visitor, #1)",Christelle Dabos,audio,492,to-read,,2019-12-28 00:00:00,2018,0,4.07,,,
9.78162E+12,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5,4.56,"adventurous, dark, emotional",medium,"Fantasy, Young Adult, Romance, New Adult, Fiction, Magic"
9.78162E+12,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,paperback,406,read,,2019-04-20 00:00:00,2012,4,4.19,"adventurous, dark, mysterious, tense",medium,"Fantasy, Young Adult, Romance, New Adult, Fiction, Magic"
9.78168E+12,"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,hardcover,484,to-read,,2020-02-20 00:00:00,2019,0,4.01,,,
9.78006E+12,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,paperback,280,to-read,,2020-01-01 00:00:00,2005,0,3.86,,,
9.78067E+12,"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,paperback,416,to-read,,2020-02-20 00:00:00,2008,0,3.9,,,
9.78168E+12,"Twisted Palace (The Royals, #3)",Erin Watt,paperback,370,read,,2019-04-20 00:00:00,2016,3,3.93,"emotional, tense",fast,"Romance, New Adult, Contemporary, Young Adult, Fiction, High School"
9.78154E+12,"Rhapsodic (The Bargainer, #1)",Laura Thalassa,paperback,326,to-read,,2021-04-03 00:00:00,2016,0,3.97,,,
9.78162E+12,"Crown of Midnight (Throne of Glass, #2)",Sarah J. Maas,hardcover,420,read,,2019-04-20 00:00:00,2013,5,4.36,"adventurous, dark, emotional, mysterious",medium,"Fantasy, Young Adult, Romance, New Adult, Fiction, Magic"
9.78006E+12,"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,hardcover,403,read,2020-01-19 00:00:00,2019-08-25 00:00:00,2016,4,3.81,"adventurous, dark, mysterious, tense",medium,"Fantasy, Young Adult, Fiction, Magic, Romance"
9.78153E+12,"Legacy (Keeper of the Lost Cities, #8)",Shannon Messenger,paperback,797,read,,2019-12-21 00:00:00,2019,5,4.5,"adventurous, emotional, funny, hopeful, mysterious",medium,"Fantasy, Middle Grade, Fiction, Romance, Adventure, Magic, Mystery"
9.78172E+12,"Neverseen (Keeper of the Lost Cities, #4)",Shannon Messenger,paperback,672,read,,2019-08-20 00:00:00,2015,5,4.61,"adventurous, emotional, funny, lighthearted, mysterious",fast,"Fantasy, Middle Grade, Fiction, Romance, Adventure, Magic, Mystery"
9.78059E+12,"Dune (Dune, #1)",Frank Herbert,hardcover,658,to-read,,2020-10-04 00:00:00,2019,0,4.25,,,
9.78006E+12,"Everless (Everless, #1)",Sara Holland,hardcover,362,read,,2019-08-03 00:00:00,2018,3,3.8,"adventurous, mysterious, tense",fast,"Fantasy, Young Adult, Romance, Fiction, Magic"
9.78145E+12,Supermaker: Crafting Business on Your Own Terms,Jaime Schmidt,digital,296,to-read,,2020-09-09 00:00:00,2020,0,4.21,,,
9.78141E+12,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,paperback,705,read,,2019-04-20 00:00:00,2017,5,4.44,"adventurous, emotional, hopeful, tense",medium,"Fantasy, Romance, New Adult, Fae, Fiction"
9.78144E+12,"Exile (Keeper of the Lost Cities, #2)",Shannon Messenger,digital,576,read,,2019-08-20 00:00:00,2013,5,4.51,"adventurous, funny, lighthearted, mysterious",fast,"Fantasy, Middle Grade, Fiction, Romance, Adventure, Magic, Mystery"
9.78144E+12,"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,hardcover,504,read,2020-01-07 00:00:00,2019-12-26 00:00:00,2018,5,4.42,"adventurous, dark, emotional, mysterious, tense",medium,"Young Adult, Fantasy, Dystopia, Science Fiction, Fiction, Romance"
9.78045E+12,"A Reaper at the Gates (An Ember in the Ashes, #3)",Sabaa Tahir,hardcover,458,read,2019-12-05 00:00:00,2019-10-01 00:00:00,2018,5,4.18,"adventurous, dark, emotional",medium,"Fantasy, Young Adult, Romance, Fiction, Magic"
9.78142E+12,"The Darkest Minds (The Darkest Minds, #1)",Alexandra Bracken,hardcover,488,to-read,,2019-12-17 00:00:00,2012,0,4.16,,,
9.78077E+12,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,hardcover,400,read,2022-03-22 00:00:00,2020-01-06 00:00:00,2015,4,4.07,,,"Fantasy, Fiction, Young Adult, Magic, Adult"
9.78144E+12,"Everblaze (Keeper of the Lost Cities, #3)",Shannon Messenger,hardcover,624,read,2019-08-20 00:00:00,2019-08-16 00:00:00,2014,5,4.54,"adventurous, emotional, funny, mysterious",medium,"Fantasy, Middle Grade, Fiction, Romance, Adventure, Magic, Mystery"
